FID,FID_buffer,ROBIN_ID,LOCAL_ID,NAME,LATITUDE,LONGITUDE,AREA,AREA_SOURC,DATA_OWNER,COUNTRY,FREE_TEXT,DATA_PERMI,QUALITY,HYDROBELT,KOPPEN,BUFF_DIST,ORIG_FID,FID_CAMELS,gauge_id,gauge_name
99,62,DE00192,306,Lauter at Bensheim,49.684315550000001,8.635622764000001,26.800000000000001,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,62,580,DE710110,Bensheim
100,245,DE00014,20,Creu§en at Grafenwšhr,49.717912790000000,11.915792700000001,183.199999999999989,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,245,266,DE211320,Grafenwöhr
101,297,DE00066,88,PŸttlach at Pottenstein,49.773654149999999,11.402027820000001,108.900000000000006,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,297,440,DE214630,Pottenstein
102,281,DE00050,65,Leinleiterbach at Unterleinleiter,49.825526289999999,11.191242949999999,83.599999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,281,441,DE214640,Unterleinleiter
103,88,DE00218,338,Dhron at Papiermühle,49.826538470000003,6.941466882000000,169.599999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,88,1214,DEB11140,Papiermühle
104,249,DE00018,24,Elsava at RŸck,49.827834390000000,9.216734250000000,143.800000000000011,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,249,487,DE215150,Rück
105,251,DE00020,27,Fichtelnaab at Erbendorf,49.834593310000002,12.064062340000000,181.699999999999989,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,251,261,DE211260,Erbendorf
106,324,DE00001,1,lschnitz at GampelmŸhle,49.898433109999999,11.663538920000001,62.399999999999999,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,324,374,DE213910,Gampelmühle
107,210,DE00106,151,Wiesent at Hollfeld,49.936307980000002,11.291960700000001,135.400000000000006,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,210,437,DE214590,Hollfeld
108,204,DE00100,141,Warme Steinach at Untersteinach_Warme Steinach,49.971096260000003,11.681047270000001,73.700000000000003,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,204,375,DE213920,Untersteinach_Warme Steinach
109,329,DE00006,9,Aschaff at Goldbach,49.995680890000003,9.188359989000000,143.099999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,329,488,DE215160,Goldbach
110,309,DE00078,102,Ršslau at Lorenzreuth,50.021377160000000,12.105235230000000,121.500000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,309,492,DE215220,Lorenzreuth
111,285,DE00054,69,Lohr at Frammersbach,50.061879630000000,9.475263684000000,68.500000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,285,478,DE215040,Frammersbach
112,200,DE00096,131,Trebgast at Trebgast,50.066005410000002,11.552023970000000,63.299999999999997,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,200,364,DE213800,Trebgast
113,89,DE00219,339,Uessbach at Peltzerhaus,50.066293629999997,7.079800335000000,1.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,89,1151,DEB10340,Peltzerhaus
114,207,DE00103,147,Weismain at Weismain_Weismain,50.091880109999998,11.240152390000000,70.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,207,376,DE213930,Weismain_Weismain
115,276,DE00045,57,Koserbach at AdlerhŸtte,50.121334259999998,11.615359220000000,33.500000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,276,367,DE213840,Adlerhütte
116,201,DE00097,136,Untere Steinach at Oberhammer,50.181462600000003,11.524724120000000,64.400000000000006,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,201,368,DE213850,Oberhammer
117,66,DE00196,311,Bieber at Kassel,50.213680179999997,9.275007806000000,79.900000000000006,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,66,623,DE710560,Kassel
118,279,DE00048,63,Lauer at Poppenlauer,50.214650200000001,10.238347240000000,151.800000000000011,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,279,472,DE214970,Poppenlauer
119,280,DE00049,64,Lauter at Schlimpfhof,50.221101050000001,9.965649561999999,12.800000000000001,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,280,474,DE214990,Schlimpfhof
120,78,DE00208,328,Aar at Michelbach,50.234823740000003,8.060935408000001,143.699999999999989,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,78,632,DE710650,Michelbach
121,67,DE00197,312,Gründau at Hain-Gründau1,50.236956229999997,9.130988411000001,60.899999999999999,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,67,607,DE710390,Hain-Gründau 1
122,212,DE00108,153,Wilde Rodach at Wallenfels,50.271927769999998,11.462463840000000,96.099999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,212,383,DE214020,Wallenfels
123,70,DE00200,317,Seemenbach at Büdingen,50.286156830000003,9.104474943000000,93.799999999999997,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,70,586,DE710180,Büdingen
124,65,DE00195,310,Salz at Bad_Soden,50.290592840000002,9.364340982000000,89.099999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,65,577,DE710080,Bad Soden
125,277,DE00046,59,Kronach at Steinberg_Kronach,50.293079900000002,11.369612869999999,94.200000000000003,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,277,386,DE214050,Steinberg_Kronach
126,308,DE00077,101,Ršden at Mšnchršden,50.297819390000001,11.053943230000000,71.599999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,308,392,DE214110,Mönchröden
127,321,DE00090,120,Sinn at Bad BrŸckenau,50.308800599999998,9.791177644999999,92.099999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,321,475,DE215010,Bad Brückenau
128,64,DE00194,309,Kinzig at Steinau,50.320428860000000,9.480269914000001,116.200000000000003,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,64,656,DE710900,Steinau
129,262,DE00031,41,Ha§lach at Neukenroth,50.322654610000001,11.287609750000000,142.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,262,384,DE214030,Neukenroth
130,244,DE00013,17,Brend at Schweinhof,50.349790810000002,10.156974260000000,112.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,244,471,DE214960,Schweinhof
